City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Mudkhed,IN,84.24,19.1667,77.5167,Yellow building
1,Vallenar,CL,54.61,-28.5708,-70.7581,Humacao Bed & Breakfast
2,Saint-Ambroise,CA,66.74,48.5501,-71.3324,Motel Saint-Ambroise
4,Pinsk,BY,60.87,52.1229,26.0951,Smart Business Hotel
6,Saquena,PE,74.34,-4.6667,-73.5167,
8,Alyangula,AU,77.13,-13.8483,136.4192,Groote Eylandt Lodge
10,Yellowknife,CA,52.32,62.456,-114.3525,The Explorer Hotel
11,Gari,RU,75.34,59.4307,62.3497,
13,Asau,RO,65.32,46.4333,26.4,Casa Mika Ciobanus
14,Nokaneng,BW,57.06,-19.6667,22.2667,
15,Hanna,CA,62.85,51.6334,-111.9018,West View Motel
16,Bethel,US,69.66,41.3712,-73.414,Courtyard by Marriott Danbury
18,Puerto Ayora,EC,69.55,-0.7393,-90.3518,Finch Bay Galapagos Hotel
19,Jamestown,US,62.71,42.097,-79.2353,Hampton Inn & Suites Jamestown
20,Normandin,CA,66.51,48.8333,-72.5321,Chambres MB Normandin (Lac St -Jean)
21,New Norfolk,AU,53.1,-42.7826,147.0587,The Shingles Riverside Cottages
22,Khatanga,RU,55.18,71.9667,102.5,"""Khatanga"""
23,Kapaa,US,82.38,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
27,Sicamous,CA,74.37,50.8331,-118.9856,Best Western Sicamous Inn
28,Auki,SB,84.52,-8.7676,160.7034,Auki Motel
29,Pedasi,PA,79.07,7.5333,-80.0333,Hotel Casa de Campo Pedasí
30,Busselton,AU,57.43,-33.65,115.3333,Observatory Guest House
31,Lexington,US,72.12,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
32,Tshela,CD,68.92,-4.9833,12.9333,Hotel Mirador
33,Sagua La Grande,CU,78.87,22.8067,-80.0756,Hotel Telégrafo
35,Butaritari,KI,81.77,3.0707,172.7902,Isles Sunset Lodge
38,Bodden Town,KY,82.92,19.2833,-81.25,Will T Place
39,Albany,US,63.91,42.6001,-73.9662,
40,Airai,TL,72.43,-8.9266,125.4092,
41,Nouadhibou,MR,71.58,20.931,-17.0347,El Medina
42,Vaini,TO,77.16,-21.2,-175.2,Keleti Beach Resort
43,Hithadhoo,MV,79.54,-0.6,73.0833,Scoop Guest House
44,Provideniya,RU,51.24,64.3833,-173.3,
45,Hermanus,ZA,53.33,-34.4187,19.2345,Misty Waves Boutique Hotel
46,Mahebourg,MU,74.25,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
47,Rikitea,PF,72.59,-23.1203,-134.9692,People ThankYou
48,Verkhoyansk,RU,81.19,67.5447,133.385,
49,Hobart,AU,53.46,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
50,Ambon,ID,77.14,-3.6954,128.1814,Swiss-Belhotel Ambon
52,Mount Gambier,AU,51.71,-37.8333,140.7667,The Commodore
54,Port Lincoln,AU,54.95,-34.7333,135.8667,Port Lincoln Hotel
56,Salalah,OM,76.87,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
57,Port Alfred,ZA,50.18,-33.5906,26.891,The Halyards Hotel
59,Torbay,CA,65.39,47.6666,-52.7314,Gallows Cove
60,Hoshiarpur,IN,79.34,31.5322,75.9172,Hotel Fine Dining
61,Abalak,RU,76.6,58.1286,68.5944,Туристический комплекс Абалак
64,Atuona,PF,76.96,-9.8,-139.0333,Villa Enata
65,Cherskiy,RU,69.24,68.75,161.3,Gostinitsa
67,East London,ZA,56.93,-33.0153,27.9116,Tu Casa
71,Nikolskoye,RU,63.88,59.7035,30.7861,Tourist House - Sablino
72,Aegviidu,EE,62.17,59.2858,25.6142,Aegviidu Puhkebaas OÜ
73,Ahuimanu,US,79.75,21.4447,-157.8378,Paradise Bay Resort
74,Peniche,PT,65.1,39.3558,-9.3811,Hotel Star inn Peniche
76,Mandan,US,78.78,46.8267,-100.8896,Twin City Estates
79,Paracatu,BR,66.24,-17.2222,-46.8747,Hotel Paracatu Plaza
80,Navahrudak,BY,61.32,53.6,25.8333,Hotel Grazhina
82,Kiunga,PG,82.76,-6.1219,141.2906,Airport Lodge Kiunga
83,Hirtshals,DK,59.72,57.5881,9.9592,Montra Skaga Hotel
85,Vila Franca Do Campo,PT,68.41,37.7167,-25.4333,Pestana Bahia Praia
86,Bow Island,CA,67.62,49.8668,-111.3684,Silver Sage Motel
87,Kralendijk,BQ,80.85,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
89,Kavaratti,IN,81.37,10.5669,72.642,Green leaf
90,Tiznit,MA,81.37,29.5833,-9.5,
91,Guerrero Negro,MX,70.48,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
92,Arraial Do Cabo,BR,66.33,-22.9661,-42.0278,Pousada Porto Praia
94,Flinders,AU,60.39,-34.5833,150.8552,Shellharbour Resort & Conference Centre
96,Araguaina,BR,71.85,-7.1911,-48.2072,Hotel São Vicente
97,Ugoofaaru,MV,79.65,5.6667,73.0,Ungoofaaru Inn
98,Kjollefjord,NO,51.85,70.9457,27.3465,Hotel Nordkyn
99,Harper,LR,74.89,4.375,-7.7169,Screensaver
100,Bambous Virieux,MU,74.21,-20.3428,57.7575,Casa Tia Villa
101,Romilly-Sur-Seine,FR,62.42,48.5108,3.7263,"Nicey - Hôtel Spa, Lounge, Coworking"
102,Skjervoy,NO,53.6,70.0311,20.9714,Skjervøy fiskecamp AS
103,Isangel,VU,74.41,-19.55,169.2667,Tanna Lodge
105,Luganville,VU,79.29,-15.5333,167.1667,The Espiritu Hotel
106,Campos,BR,57.42,-21.75,-41.3,Palace Hotel - Campos dos Goytacazes
107,Igrim,RU,68.54,63.1906,64.4162,Obshchezhitiye Uchebno-Proizvodstvennogo Tsentra
108,Kerch,UA,79.02,45.3583,36.4758,Khostel
109,Dombarovskiy,RU,76.03,50.7587,59.5386,
110,Bathsheba,BB,81.05,13.2167,-59.5167,Atlantis Hotel
111,Pevek,RU,50.04,69.7008,170.3133,Severnoye Zoloto
112,Navirai,BR,53.26,-23.065,-54.1906,Dubai Hotel - Também sua casa!
113,Lagoa,PT,72.01,39.05,-27.9833,Casa Das Faias
114,Ahipara,NZ,53.78,-35.1667,173.1667,Ahipara Holiday Park
115,Muhos,FI,56.98,64.808,25.9931,Montta - active camping / campsite Montan
116,Shar,KZ,83.7,49.5886,81.0453,
117,Port Elizabeth,ZA,51.31,-33.918,25.5701,39 On Nile Guest House
118,Mogocha,RU,74.21,53.7333,119.7667,Yalta Inn
119,Shahrud,IR,79.83,36.4182,54.9763,Royal Hotel
120,Usinsk,RU,69.78,65.9939,57.5281,Dobro Pozhalovaty
121,Saint-Philippe,RE,76.21,-21.3585,55.7679,Le four à pain
122,Vostok,RU,76.23,46.4856,135.8833,
123,San Quintin,MX,68.99,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
124,Kampene,CD,68.47,-3.6,26.6667,
125,Severo-Kurilsk,RU,55.72,50.6789,156.125,Kak Doma
126,Rawlins,US,73.35,41.7911,-107.2387,"Holiday Inn Express Rawlins, an IHG Hotel"
127,Norman Wells,CA,53.89,65.282,-126.8329,Heritage Hotel
128,Sovetskiy,RU,70.2,61.3614,63.5842,Apartment on Kievskaya 29
129,Santa Lucia,ES,65.52,27.9117,-15.5407,Las Tirajanas
130,Kulhudhuffushi,MV,77.79,6.6221,73.07,Haajy Guest House 1
131,Saint George,US,73.99,37.1041,-113.5841,Best Western Plus Abbey Inn
133,Vila Velha,BR,66.34,-20.3297,-40.2925,Hotel Vitória Palace
134,Talnakh,RU,51.21,69.4865,88.3972,Talnakh Hotel
135,Smidovich,RU,82.63,48.6,133.8167,Gostinnitsa
136,Ribeira Grande,PT,73.27,38.5167,-28.7,Quinta da Meia Eira
137,Sokoni,TZ,75.97,-6.4333,39.55,Ujamaa Beach Resort
138,Mana,GF,76.5,5.6592,-53.7767,LE SAMANA
139,Madison,US,76.1,34.7334,-86.5667,Embassy Suites by Hilton Huntsville
141,Sambava,MG,71.17,-14.2667,50.1667,Melrose
143,Nyurba,RU,81.43,63.2842,118.3319,"Гостиница ""Comfort"""
144,Nisia Floresta,BR,72.41,-6.0911,-35.2086,Rancho Crepusculo
145,Ciudad Bolivar,VE,75.81,8.1222,-63.5497,Hotel Edi
146,Nhulunbuy,AU,81.21,-12.2333,136.7667,East Arnhem Real Estate
147,Bada,RU,76.1,51.392,109.8717,Sagaan Dali
150,Saskylakh,RU,51.64,71.9167,114.0833,
151,Meadow Lake,US,71.67,34.8014,-106.5436,TumbleWeed RV Park
152,Seoul,KR,80.17,37.5683,126.9778,LOTTE HOTEL SEOUL
154,Sungaipenuh,ID,82.35,-2.0833,101.3833,Penginapan Citra Alam
155,Victor Harbor,AU,55.0,-35.5667,138.6167,McCracken Country Club
156,Port Macquarie,AU,61.9,-31.4333,152.9167,Rydges Port Macquarie
157,Vidim,RU,61.41,56.4088,103.1106,
158,Pervoye Maya,RU,65.26,56.164,44.7196,
159,Hilo,US,76.24,19.7297,-155.09,Hilo Hawaiian Hotel
161,Gornopravdinsk,RU,72.66,60.05,69.9,Hostel
162,Klaksvik,FO,50.92,62.2266,-6.589,Airbnb rooms
163,Sinnamary,GF,77.67,5.3833,-52.95,ALETHEIA Appartement Sinnamary
166,Codrington,AU,52.2,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
167,Buchanan,LR,74.68,5.8808,-10.0467,Kamaneahn Hotel Inc
168,Cap Malheureux,MU,74.46,-19.9842,57.6142,Pereybere Hotel & Spa
171,Tiksi,RU,53.76,71.6872,128.8694,Arktika
172,Birao,CF,73.08,10.2849,22.7882,
174,Roald,NO,61.16,62.5833,6.1333,Flem Cabins
175,Chapais,CA,62.38,49.7834,-74.8492,Hôtel Opémiska
176,Lompoc,US,68.14,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
177,Roanoke,US,76.32,37.271,-79.9414,"The Hotel Roanoke & Conference Center, Curio Collection by Hilton"
178,Ginir,ET,63.93,7.1333,40.7,Sura Dare Village
179,Bull Savanna,JM,75.99,17.8868,-77.5902,Big Red's
180,Marsabit,KE,65.46,2.3284,37.9899,Chicho Hotel
181,Soyo,AO,71.42,-6.1349,12.3689,Hospedaria ndozi'ame
182,Carnarvon,AU,73.26,-24.8667,113.6333,Hospitality Carnarvon
185,Sitka,US,58.89,57.0531,-135.33,Westmark Sitka
188,Lappeenranta,FI,59.56,61.0587,28.1887,Original Sokos Hotel Lappee
190,Namtsy,RU,84.36,62.7161,129.6658,"""Эңсиэли Киин"""
191,Geraldton,AU,63.01,-28.7667,114.6,Broadwater Mariner Resort
192,Saint Anthony,US,75.13,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
193,Kodiak,US,60.31,57.79,-152.4072,Best Western Kodiak Inn
194,Nazarovo,RU,77.7,56.0064,90.3914,Zarya
195,Pacific Grove,US,62.28,36.6177,-121.9166,Lovers Point Inn
196,Kenora,CA,62.65,49.8167,-94.4337,Maynard Lake Lodge
197,Guiyang,CN,82.18,26.5833,106.7167,Guo Tai Hotel Guiyang
200,Yabrud,SY,79.56,33.9674,36.6574,صالة افراح الاندلس
201,Grand Gaube,MU,74.37,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
202,Bengkulu,ID,84.52,-3.8004,102.2655,Grage Hotel Bengkulu
204,Avarua,CK,75.25,-21.2078,-159.775,Paradise Inn
205,Ponta Do Sol,PT,70.43,32.6667,-17.1,Hotel do Campo
208,Caibarien,CU,76.32,22.5206,-79.4669,La Nena
209,Zbarazh,UA,67.55,49.6636,25.7762,Edelʹveys
210,Clinton,US,72.05,42.587,-82.9199,River's Edge
211,Yenagoa,NG,72.37,4.9247,6.2642,Aridolf Resort Wellness and Spa
212,Jurm,AF,78.04,36.8648,70.8342,
213,Dombas,NO,56.05,62.0696,9.1235,Trolltun Gjestegård
214,Redlands,US,82.49,34.0556,-117.1825,Dynasty Suites Redlands
215,Waddan,LY,79.61,29.1614,16.139,محل الشريف محمد العايب
216,Sri Aman,MY,80.94,1.2376,111.4621,Seri Simanggang Hotel
217,Nouakchott,MR,76.93,18.0858,-15.9785,HOTEL IMAN
218,Gat,IL,81.39,31.61,34.7642,OlusHome
221,Matara,LK,84.25,5.9485,80.5353,Amaloh Boutique Resort
222,Kysyl-Syr,RU,80.13,63.8986,122.7617,
223,Zhigansk,RU,77.25,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
224,Richards Bay,ZA,64.27,-28.783,32.0377,BON Hotel Waterfront Richards Bay
227,Balikpapan,ID,79.79,-1.2675,116.8289,Swiss-Belhotel Balikpapan
228,Kokoda,PG,80.33,-8.8785,147.7407,Daito Guest House
229,Ankazoabo,MG,71.44,-22.2833,44.5167,ENCEIN BUREAU CISCO
230,Quatre Cocos,MU,74.08,-20.2078,57.7625,Sunrise Attitude Hotel
231,Mahajanga,MG,75.97,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
232,Nishihara,JP,80.65,26.1842,127.7558,Minshuku Agaihama
237,Ust-Kuyga,RU,78.55,70.0167,135.6,
238,Coquimbo,CL,55.13,-29.9533,-71.3436,Hotel San Juan
240,Uusikaupunki,FI,64.85,60.8004,21.4084,Hotel Aquarius
241,Chillicothe,US,64.26,39.3331,-82.9824,Holiday Inn Express Chillicothe East
243,Faanui,PF,79.18,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
244,Fort Saint James,CA,66.24,54.4333,-124.25,The View Hotel
245,Touros,BR,75.7,-5.1989,-35.4608,INN NEW HORIZON
246,Kloulklubed,PW,84.7,7.0419,134.2556,Storyboard Beach Resort
247,Rovaniemi,FI,51.21,66.5,25.7167,Arctic City Hotel
248,Vao,NC,68.04,-22.6667,167.4833,Hotel Kou-Bugny
250,Alofi,NU,77.49,-19.0595,-169.9187,Taloa Heights
251,Fortuna,US,60.93,40.5982,-124.1573,Super 8 by Wyndham Fortuna
252,Concarneau,FR,65.82,47.875,-3.9225,Brit Hotel de L' Océan
253,Andenes,NO,60.78,69.3143,16.1194,Hotell Marena
254,Aksu,CN,84.99,41.1231,80.2644,Pudong Holiday Hotel
256,Stromness,GB,52.88,58.965,-3.296,The Old Smokery
257,Port Antonio,JM,80.01,18.18,-76.4612,The Trident Hotel
259,Chokurdakh,RU,72.68,70.6333,147.9167,
260,Boa Vista,BR,75.18,2.8197,-60.6733,Aipana Plaza Hotel
261,Zelenoborskiy,RU,54.63,66.845,32.3622,Turisticheskaya baza
262,Tigil,RU,64.08,57.8,158.6667,Tigil'
263,Morant Bay,JM,79.72,17.8815,-76.4093,Whispering Bamboo Cove Resort
264,Okmulgee,US,77.85,35.6234,-95.9605,"Holiday Inn Express & Suites Okmulgee, an IHG Hotel"
265,San Cristobal,VE,73.58,7.7669,-72.225,Pirineos
266,Acton,GB,69.13,51.509,-0.2762,Abbey Lodge Hotel
267,Iisalmi,FI,51.89,63.5592,27.1907,Original Sokos Hotel Koljonvirta
268,Coahuayana,MX,76.57,18.7333,-103.6833,El rranchito michuacan de ocampos
269,Brae,GB,53.2,60.3964,-1.353,Busta House Hotel
270,Flagstaff,US,64.06,35.1981,-111.6513,Drury Inn & Suites Flagstaff
271,Vardo,NO,51.78,70.3705,31.1107,Vardø Hotel AS
272,Terralba,IT,76.14,39.7192,8.6392,B&B Neverland
273,Saint-Raphael,HT,72.43,19.4333,-72.2,Adouly Hôtel
274,Maxixe,MZ,67.28,-23.8597,35.3472,Oceano
275,Cidreira,BR,54.16,-30.1811,-50.2056,Hotel Castelo
276,Chaumont,FR,68.34,48.1167,5.1333,Hôtel Restaurant Des Remparts
277,Sagua De Tanamo,CU,76.39,20.5819,-75.2414,
278,Zhezkazgan,KZ,75.18,47.8043,67.7144,Hotel Zumrat
279,Denpasar,ID,83.86,-8.65,115.2167,OYO 3156 Hotel Warta 2
281,Praia Da Vitoria,PT,69.76,38.7333,-27.0667,Hotel Branco I
282,Yeniseysk,RU,82.62,58.4497,92.1703,"""Domino"""
285,Taiyuan,CN,84.06,37.8694,112.5603,Taiyuan Wanda Wenhua Hotel
286,Karonga,MW,71.6,-9.9333,33.9333,Sumuka Inn
287,Mattru,SL,70.97,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
288,Lasa,IT,58.69,46.6166,10.7002,Pension Feldgärtenhof
289,Guymon,US,75.2,36.6828,-101.4816,Simple Rewards
290,Sechura,PE,62.56,-5.5569,-80.8222,Hospedaje Costa Bella
291,Surgut,RU,64.58,61.25,73.4167,Business Hotel
293,Yuksekova,TR,76.75,37.5736,44.2872,Hotel Grand Yılmaz
294,Mariel,CU,77.25,22.9875,-82.7536,Casa De Alojamiento Marilda
297,Babusnica,RS,64.6,43.0597,22.4117,Panorama
303,Fairbanks,US,69.22,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
304,Volary,CZ,59.25,48.9088,13.8866,City hotel Bobík Ltd.
305,Smithers,CA,65.86,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
306,Muros,ES,68.09,42.7762,-9.0603,Apartment Av. Castelao
307,Virginia Beach,US,76.01,36.8529,-75.978,Hilton Virginia Beach Oceanfront
308,Marseille,FR,75.85,43.3333,5.5,Hôtel The Originals Côté Sud (ex Inter-Hotel)
309,Gboko,NG,71.11,7.3179,8.9951,Mavillah Apartment and Suites
310,Fontanka,UA,76.8,46.5626,30.8607,Villa Lavender Hotel
311,Pangody,RU,60.53,65.85,74.4859,Elizaveta Shevchuk's House
312,Manzanillo,CU,75.07,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
313,Sikasso,ML,71.17,10.9167,-7.0,
315,Kavieng,PG,84.18,-2.5744,150.7967,Nusa Island Retreat
316,Kamenka,RU,75.18,51.3223,42.7678,
317,Chapayeve,UA,73.38,49.3662,35.8749,
318,Kaeo,NZ,52.32,-35.1,173.7833,Bushido Lodge
319,Livny,RU,68.47,52.4253,37.6069,Gostinitsa Livny Tsentral'naya
320,Namatanai,PG,83.25,-3.6667,152.4333,Seagulls Inn Namatani
321,Salsk,RU,84.61,46.4725,41.5428,Отель
322,Bonavista,CA,60.62,48.6499,-53.1147,Sweet Sharons bnb
324,Los Llanos De Aridane,ES,69.55,28.6585,-17.9182,Valle Aridane
325,Mayumba,GA,71.31,-3.432,10.6554,LIKWALE LODGE
327,Lufilufi,WS,78.58,-13.8745,-171.5986,Leuaina Beach Resort and Spa
328,Torzhok,RU,62.67,57.0436,34.9622,Hotel Torzhok
329,Lima,PE,57.45,-12.0432,-77.0282,Hotel Kamana
330,Bilibino,RU,62.4,68.0546,166.4372,Gostinitsa Severyanka
331,Verkhnevilyuysk,RU,78.64,63.4453,120.3167,Gostinitsa Mila
332,Matagami,CA,57.22,49.7502,-77.6328,Motel Le Caribou
335,Hualmay,PE,61.09,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
336,Pachino,IT,82.22,36.7186,15.0907,Il Veliero
338,Veraval,IN,84.25,20.9,70.3667,Lords Inn Somnath
339,Youghal,IE,62.1,51.95,-7.8506,Walter Raleigh Hotel
341,Taunggyi,MM,68.45,20.7833,97.0333,True Treasure Hotel
342,Luan,CH,61.86,46.3592,6.9759,Hotel Appartement Castel Club Leysin Parc
343,Solwezi,ZM,59.49,-12.1688,26.3894,Country Lodge Solwezi
344,Kuusamo,FI,53.64,65.9667,29.1833,Hotel Kuusanka
346,Gushikawa,JP,80.6,26.3544,127.8686,Kirari Guest House
348,Santa Marta,CO,79.09,11.2408,-74.199,Hotel La Ballena Azul
